S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
216,13/10/2020,India,7175880,838729,6227295,109856
217,14/10/2020,India,7239389,826876,6301927,110586
218,15/10/2020,India,7307097,812390,6383441,111266
219,16/10/2020,India,7370468,804528,6453779,112161
220,17/10/2020,India,7432680,795087,6524595,112998
221,18/10/2020,India,7494551,783311,6597209,114031
222,19/10/2020,India,7550273,772055,6663608,114610
223,20/10/2020,India,7597063,748538,6733328,115197
224,21/10/2020,India,7651107,740090,6795103,115914
225,22/10/2020,India,7706946,715812,6874518,116616
226,23/10/2020,India,7761312,695509,6948497,117306
227,24/10/2020,India,7814682,680680,7016046,117956
228,25/10/2020,India,7864811,668154,7078123,118534
229,26/10/2020,India,7909959,653717,7137228,119014
230,27/10/2020,India,7946429,625857,7201070,119502
231,28/10/2020,India,7990322,610803,7259509,120010
232,29/10/2020,India,8040203,603687,7315989,120527
233,30/10/2020,India,8088851,594386,7373375,121090
234,31/10/2020,India,8137119,582649,7432829,121641
235,01/11/2020,India,8184082,570458,7491513,122111
236,02/11/2020,India,8229313,561908,7544798,122607
237,03/11/2020,India,8267623,541405,7603121,123097
238,04/11/2020,India,8313876,533787,7656478,123611
239,05/11/2020,India,8364086,527962,7711809,124315
240,06/11/2020,India,8411724,520773,7765966,124985
241,27/03/2020,Andaman and Nicobar Islands,1,1,0,0
242,28/03/2020,Andaman and Nicobar Islands,6,6,0,0
243,29/03/2020,Andaman and Nicobar Islands,9,9,0,0
244,30/03/2020,Andaman and Nicobar Islands,9,9,0,0
245,31/03/2020,Andaman and Nicobar Islands,10,10,0,0
246,01/04/2020,Andaman and Nicobar Islands,10,10,0,0
247,02/04/2020,Andaman and Nicobar Islands,10,10,0,0
248,03/04/2020,Andaman and Nicobar Islands,10,10,0,0
249,04/04/2020,Andaman and Nicobar Islands,10,10,0,0
250,05/04/2020,Andaman and Nicobar Islands,10,10,0,0
251,06/04/2020,Andaman and Nicobar Islands,10,10,0,0
252,07/04/2020,Andaman and Nicobar Islands,10,10,0,0
253,08/04/2020,Andaman and Nicobar Islands,10,10,0,0
254,09/04/2020,Andaman and Nicobar Islands,11,11,0,0
255,10/04/2020,Andaman and Nicobar Islands,11,11,0,0
256,11/04/2020,Andaman and Nicobar Islands,11,11,0,0
257,12/04/2020,Andaman and Nicobar Islands,11,1,10,0
258,13/04/2020,Andaman and Nicobar Islands,11,1,10,0
259,14/04/2020,Andaman and Nicobar Islands,11,1,10,0
260,15/04/2020,Andaman and Nicobar Islands,11,1,10,0
261,16/04/2020,Andaman and Nicobar Islands,11,1,10,0
262,17/04/2020,Andaman and Nicobar Islands,11,1,10,0
263,18/04/2020,Andaman and Nicobar Islands,12,1,11,0
264,19/04/2020,Andaman and Nicobar Islands,14,3,11,0
265,20/04/2020,Andaman and Nicobar Islands,15,4,11,0
266,21/04/2020,Andaman and Nicobar Islands,16,5,11,0
267,22/04/2020,Andaman and Nicobar Islands,16,5,11,0
268,23/04/2020,Andaman and Nicobar Islands,18,7,11,0
269,24/04/2020,Andaman and Nicobar Islands,22,11,11,0
270,25/04/2020,Andaman and Nicobar Islands,27,16,11,0
271,26/04/2020,Andaman and Nicobar Islands,33,22,11,0
272,27/04/2020,Andaman and Nicobar Islands,33,22,11,0
273,28/04/2020,Andaman and Nicobar Islands,33,22,11,0
274,29/04/2020,Andaman and Nicobar Islands,33,18,15,0
275,30/04/2020,Andaman and Nicobar Islands,33,18,15,0
276,01/05/2020,Andaman and Nicobar Islands,33,17,16,0
277,02/05/2020,Andaman and Nicobar Islands,33,17,16,0
278,03/05/2020,Andaman and Nicobar Islands,33,17,16,0
279,04/05/2020,Andaman and Nicobar Islands,33,1,32,0
280,05/05/2020,Andaman and Nicobar Islands,33,1,32,0
281,06/05/2020,Andaman and Nicobar Islands,33,1,32,0
282,07/05/2020,Andaman and Nicobar Islands,33,1,32,0
283,08/05/2020,Andaman and Nicobar Islands,33,0,33,0
284,09/05/2020,Andaman and Nicobar Islands,33,0,33,0
285,10/05/2020,Andaman and Nicobar Islands,33,0,33,0
286,11/05/2020,Andaman and Nicobar Islands,33,0,33,0
287,12/05/2020,Andaman and Nicobar Islands,33,0,33,0
288,13/05/2020,Andaman and Nicobar Islands,33,0,33,0
289,14/05/2020,Andaman and Nicobar Islands,33,0,33,0
290,15/05/2020,Andaman and Nicobar Islands,33,0,33,0
291,16/05/2020,Andaman and Nicobar Islands,33,0,33,0
292,17/05/2020,Andaman and Nicobar Islands,33,0,33,0
293,18/05/2020,Andaman and Nicobar Islands,33,0,33,0
294,19/05/2020,Andaman and Nicobar Islands,33,0,33,0
295,20/05/2020,Andaman and Nicobar Islands,33,0,33,0
296,21/05/2020,Andaman and Nicobar Islands,33,0,33,0
297,22/05/2020,Andaman and Nicobar Islands,33,0,33,0
298,23/05/2020,Andaman and Nicobar Islands,33,0,33,0
299,24/05/2020,Andaman and Nicobar Islands,33,0,33,0
300,25/05/2020,Andaman and Nicobar Islands,33,0,33,0
301,26/05/2020,Andaman and Nicobar Islands,33,0,33,0
302,27/05/2020,Andaman and Nicobar Islands,33,0,33,0
303,28/05/2020,Andaman and Nicobar Islands,33,0,33,0
304,29/05/2020,Andaman and Nicobar Islands,33,0,33,0
305,30/05/2020,Andaman and Nicobar Islands,33,0,33,0
306,31/05/2020,Andaman and Nicobar Islands,33,0,33,0
307,01/06/2020,Andaman and Nicobar Islands,33,0,33,0
308,02/06/2020,Andaman and Nicobar Islands,33,0,33,0
309,03/06/2020,Andaman and Nicobar Islands,33,0,33,0
310,04/06/2020,Andaman and Nicobar Islands,33,0,33,0
311,05/06/2020,Andaman and Nicobar Islands,33,0,33,0
312,06/06/2020,Andaman and Nicobar Islands,33,0,33,0
313,07/06/2020,Andaman and Nicobar Islands,33,0,33,0
314,08/06/2020,Andaman and Nicobar Islands,33,0,33,0
315,09/06/2020,Andaman and Nicobar Islands,33,0,33,0
316,10/06/2020,Andaman and Nicobar Islands,33,0,33,0
317,11/06/2020,Andaman and Nicobar Islands,34,1,33,0
318,12/06/2020,Andaman and Nicobar Islands,38,5,33,0
319,13/06/2020,Andaman and Nicobar Islands,38,5,33,0
320,14/06/2020,Andaman and Nicobar Islands,38,5,33,0
321,15/06/2020,Andaman and Nicobar Islands,38,5,33,0
322,16/06/2020,Andaman and Nicobar Islands,41,8,33,0
323,17/06/2020,Andaman and Nicobar Islands,44,11,33,0
324,18/06/2020,Andaman and Nicobar Islands,44,11,33,0
325,19/06/2020,Andaman and Nicobar Islands,44,11,33,0
326,20/06/2020,Andaman and Nicobar Islands,45,10,35,0
327,21/06/2020,Andaman and Nicobar Islands,47,11,36,0
328,22/06/2020,Andaman and Nicobar Islands,48,11,37,0
329,23/06/2020,Andaman and Nicobar Islands,48,11,37,0
330,24/06/2020,Andaman and Nicobar Islands,50,10,40,0
331,25/06/2020,Andaman and Nicobar Islands,56,13,43,0
332,26/06/2020,Andaman and Nicobar Islands,59,16,43,0
333,27/06/2020,Andaman and Nicobar Islands,72,29,43,0
334,28/06/2020,Andaman and Nicobar Islands,72,29,43,0
335,29/06/2020,Andaman and Nicobar Islands,76,31,45,0
336,30/06/2020,Andaman and Nicobar Islands,90,44,46,0
337,01/07/2020,Andaman and Nicobar Islands,97,47,50,0
338,02/07/2020,Andaman and Nicobar Islands,100,50,50,0
339,03/07/2020,Andaman and Nicobar Islands,109,58,51,0
340,04/07/2020,Andaman and Nicobar Islands,116,62,54,0
341,05/07/2020,Andaman and Nicobar Islands,119,53,66,0
342,06/07/2020,Andaman and Nicobar Islands,125,53,72,0
343,07/07/2020,Andaman and Nicobar Islands,141,67,74,0
344,08/07/2020,Andaman and Nicobar Islands,147,72,75,0
345,09/07/2020,Andaman and Nicobar Islands,149,72,77,0
346,10/07/2020,Andaman and Nicobar Islands,151,68,83,0
347,11/07/2020,Andaman and Nicobar Islands,156,64,92,0
348,12/07/2020,Andaman and Nicobar Islands,163,70,93,0
349,13/07/2020,Andaman and Nicobar Islands,163,70,93,0
350,14/07/2020,Andaman and Nicobar Islands,166,57,109,0
351,15/07/2020,Andaman and Nicobar Islands,166,57,109,0
352,16/07/2020,Andaman and Nicobar Islands,176,46,130,0
353,17/07/2020,Andaman and Nicobar Islands,180,47,133,0
354,18/07/2020,Andaman and Nicobar Islands,194,52,142,0
355,19/07/2020,Andaman and Nicobar Islands,198,53,145,0
356,20/07/2020,Andaman and Nicobar Islands,203,58,145,0
357,21/07/2020,Andaman and Nicobar Islands,207,55,152,0
358,22/07/2020,Andaman and Nicobar Islands,212,53,159,0
359,23/07/2020,Andaman and Nicobar Islands,221,58,163,0
360,24/07/2020,Andaman and Nicobar Islands,240,70,170,0
361,25/07/2020,Andaman and Nicobar Islands,259,85,174,0
362,26/07/2020,Andaman and Nicobar Islands,290,114,176,0
363,27/07/2020,Andaman and Nicobar Islands,324,142,182,0
364,28/07/2020,Andaman and Nicobar Islands,338,145,192,1
365,29/07/2020,Andaman and Nicobar Islands,363,166,196,1
366,30/07/2020,Andaman and Nicobar Islands,428,225,201,2
367,31/07/2020,Andaman and Nicobar Islands,471,266,201,4
368,01/08/2020,Andaman and Nicobar Islands,548,329,214,5
369,02/08/2020,Andaman and Nicobar Islands,636,403,226,7
370,03/08/2020,Andaman and Nicobar Islands,734,484,242,8
371,04/08/2020,Andaman and Nicobar Islands,830,557,263,10
372,05/08/2020,Andaman and Nicobar Islands,928,639,277,12
373,06/08/2020,Andaman and Nicobar Islands,1027,687,326,14
374,07/08/2020,Andaman and Nicobar Islands,1123,752,355,16
375,08/08/2020,Andaman and Nicobar Islands,1222,778,425,19
376,09/08/2020,Andaman and Nicobar Islands,1351,831,500,20
377,10/08/2020,Andaman and Nicobar Islands,1490,822,648,20
378,11/08/2020,Andaman and Nicobar Islands,1625,896,709,20
379,12/08/2020,Andaman and Nicobar Islands,1764,994,749,21
380,13/08/2020,Andaman and Nicobar Islands,1900,1050,829,21
381,14/08/2020,Andaman and Nicobar Islands,2037,1091,924,22
382,15/08/2020,Andaman and Nicobar Islands,2186,1130,1032,24
383,16/08/2020,Andaman and Nicobar Islands,2306,1154,1128,24
384,17/08/2020,Andaman and Nicobar Islands,2399,1145,1226,28
385,18/08/2020,Andaman and Nicobar Islands,2445,1091,1325,29
386,19/08/2020,Andaman and Nicobar Islands,2529,1078,1421,30
387,20/08/2020,Andaman and Nicobar Islands,2604,1045,1529,30
388,21/08/2020,Andaman and Nicobar Islands,2680,1011,1638,31
389,22/08/2020,Andaman and Nicobar Islands,2747,971,1744,32
390,23/08/2020,Andaman and Nicobar Islands,2808,923,1853,32
391,24/08/2020,Andaman and Nicobar Islands,2860,864,1963,33
392,25/08/2020,Andaman and Nicobar Islands,2904,777,2092,35
393,26/08/2020,Andaman and Nicobar Islands,2945,677,2231,37
394,27/08/2020,Andaman and Nicobar Islands,2985,635,2309,41
395,28/08/2020,Andaman and Nicobar Islands,3018,602,2374,42
396,29/08/2020,Andaman and Nicobar Islands,3050,564,2444,42
397,30/08/2020,Andaman and Nicobar Islands,3081,518,2519,44
398,31/08/2020,Andaman and Nicobar Islands,3104,473,2586,45
399,01/09/2020,Andaman and Nicobar Islands,3132,439,2647,46
400,02/09/2020,Andaman and Nicobar Islands,3160,400,2714,46
401,03/09/2020,Andaman and Nicobar Islands,3186,381,2758,47
402,04/09/2020,Andaman and Nicobar Islands,3223,352,2823,48
403,05/09/2020,Andaman and Nicobar Islands,3257,345,2863,49
404,06/09/2020,Andaman and Nicobar Islands,3292,338,2904,50
405,07/09/2020,Andaman and Nicobar Islands,3332,331,2951,50
406,08/09/2020,Andaman and Nicobar Islands,3359,312,2997,50
407,09/09/2020,Andaman and Nicobar Islands,3392,307,3035,50
408,10/09/2020,Andaman and Nicobar Islands,3426,297,3078,51
409,11/09/2020,Andaman and Nicobar Islands,3465,293,3121,51
410,12/09/2020,Andaman and Nicobar Islands,3494,286,3157,51
411,13/09/2020,Andaman and Nicobar Islands,3521,268,3202,51
412,14/09/2020,Andaman and Nicobar Islands,3546,252,3243,51
413,15/09/2020,Andaman and Nicobar Islands,3557,227,3278,52
414,16/09/2020,Andaman and Nicobar Islands,3574,204,3318,52
415,17/09/2020,Andaman and Nicobar Islands,3593,196,3345,52
416,18/09/2020,Andaman and Nicobar Islands,3604,174,3378,52
417,19/09/2020,Andaman and Nicobar Islands,3631,165,3414,52
418,20/09/2020,Andaman and Nicobar Islands,3644,156,3436,52
419,21/09/2020,Andaman and Nicobar Islands,3651,147,3452,52
420,22/09/2020,Andaman and Nicobar Islands,3673,152,3469,52
421,23/09/2020,Andaman and Nicobar Islands,3691,160,3479,52
422,24/09/2020,Andaman and Nicobar Islands,3712,166,3494,52
423,25/09/2020,Andaman and Nicobar Islands,3744,189,3503,52
424,26/09/2020,Andaman and Nicobar Islands,3759,179,3528,52
425,27/09/2020,Andaman and Nicobar Islands,3774,171,3551,52
426,28/09/2020,Andaman and Nicobar Islands,3794,188,3553,53
427,29/09/2020,Andaman and Nicobar Islands,3803,168,3582,53
428,30/09/2020,Andaman and Nicobar Islands,3821,181,3587,53
429,01/10/2020,Andaman and Nicobar Islands,3835,174,3608,53
430,02/10/2020,Andaman and Nicobar Islands,3848,172,3623,53
431,03/10/2020,Andaman and Nicobar Islands,3858,174,3631,53
432,04/10/2020,Andaman and Nicobar Islands,3868,173,3642,53
433,05/10/2020,Andaman and Nicobar Islands,3884,182,3649,53
434,06/10/2020,Andaman and Nicobar Islands,3899,186,3659,54
435,07/10/2020,Andaman and Nicobar Islands,3912,180,3678,54
436,08/10/2020,Andaman and Nicobar Islands,3935,185,3696,54
437,09/10/2020,Andaman and Nicobar Islands,3952,190,3707,55
438,10/10/2020,Andaman and Nicobar Islands,3976,197,3724,55
439,11/10/2020,Andaman and Nicobar Islands,3992,193,3744,55
440,12/10/2020,Andaman and Nicobar Islands,4005,186,3764,55
441,13/10/2020,Andaman and Nicobar Islands,4023,198,3770,55
442,14/10/2020,Andaman and Nicobar Islands,4036,199,3782,55
443,15/10/2020,Andaman and Nicobar Islands,4046,195,3796,55
444,16/10/2020,Andaman and Nicobar Islands,4062,190,3817,55
445,17/10/2020,Andaman and Nicobar Islands,4072,185,3831,56
446,18/10/2020,Andaman and Nicobar Islands,4083,179,3848,56
447,19/10/2020,Andaman and Nicobar Islands,4108,184,3868,56
448,20/10/2020,Andaman and Nicobar Islands,4126,178,3892,56
449,21/10/2020,Andaman and Nicobar Islands,4141,183,3902,56
450,22/10/2020,Andaman and Nicobar Islands,4168,199,3913,56
451,23/10/2020,Andaman and Nicobar Islands,4184,190,3937,57
452,24/10/2020,Andaman and Nicobar Islands,4207,204,3945,58
453,25/10/2020,Andaman and Nicobar Islands,4225,199,3968,58
454,26/10/2020,Andaman and Nicobar Islands,4245,204,3983,58
455,27/10/2020,Andaman and Nicobar Islands,4253,198,3997,58
456,28/10/2020,Andaman and Nicobar Islands,4274,197,4019,58
457,29/10/2020,Andaman and Nicobar Islands,4289,192,4039,58
458,30/10/2020,Andaman and Nicobar Islands,4305,192,4054,59
459,31/10/2020,Andaman and Nicobar Islands,4317,182,4076,59
460,01/11/2020,Andaman and Nicobar Islands,4332,173,4100,59
461,02/11/2020,Andaman and Nicobar Islands,4340,168,4112,60
462,03/11/2020,Andaman and Nicobar Islands,4352,160,4132,60
463,04/11/2020,Andaman and Nicobar Islands,4372,159,4153,60
464,05/11/2020,Andaman and Nicobar Islands,4389,166,4163,60
465,06/11/2020,Andaman and Nicobar Islands,4403,168,4175,60
466,12/03/2020,Andhra Pradesh,1,1,0,0
467,13/03/2020,Andhra Pradesh,1,1,0,0
468,14/03/2020,Andhra Pradesh,1,1,0,0
469,15/03/2020,Andhra Pradesh,1,1,0,0
470,16/03/2020,Andhra Pradesh,1,1,0,0
471,17/03/2020,Andhra Pradesh,1,1,0,0
472,18/03/2020,Andhra Pradesh,1,1,0,0
473,19/03/2020,Andhra Pradesh,1,1,0,0
474,20/03/2020,Andhra Pradesh,2,2,0,0
475,21/03/2020,Andhra Pradesh,3,3,0,0
476,22/03/2020,Andhra Pradesh,5,5,0,0
477,23/03/2020,Andhra Pradesh,7,7,0,0
478,24/03/2020,Andhra Pradesh,7,7,0,0
479,25/03/2020,Andhra Pradesh,8,8,0,0
480,26/03/2020,Andhra Pradesh,11,10,1,0
481,27/03/2020,Andhra Pradesh,12,11,1,0
482,28/03/2020,Andhra Pradesh,14,13,1,0
483,29/03/2020,Andhra Pradesh,14,13,1,0
484,30/03/2020,Andhra Pradesh,19,18,1,0
485,31/03/2020,Andhra Pradesh,40,39,1,0
486,01/04/2020,Andhra Pradesh,83,82,1,0
487,02/04/2020,Andhra Pradesh,86,84,1,1
488,03/04/2020,Andhra Pradesh,132,130,1,1
489,04/04/2020,Andhra Pradesh,161,159,1,1
490,05/04/2020,Andhra Pradesh,161,159,1,1
491,06/04/2020,Andhra Pradesh,226,222,1,3
492,07/04/2020,Andhra Pradesh,266,262,1,3
493,08/04/2020,Andhra Pradesh,305,300,1,4
494,09/04/2020,Andhra Pradesh,348,338,6,4
495,10/04/2020,Andhra Pradesh,348,338,6,4
496,11/04/2020,Andhra Pradesh,363,350,7,6
497,12/04/2020,Andhra Pradesh,381,364,11,6
498,13/04/2020,Andhra Pradesh,427,409,11,7
499,14/04/2020,Andhra Pradesh,432,414,11,7
500,15/04/2020,Andhra Pradesh,483,458,16,9
501,16/04/2020,Andhra Pradesh,525,491,20,14
502,17/04/2020,Andhra Pradesh,534,500,20,14
503,18/04/2020,Andhra Pradesh,572,522,36,14
504,19/04/2020,Andhra Pradesh,603,546,42,15
505,20/04/2020,Andhra Pradesh,646,589,42,15
506,21/04/2020,Andhra Pradesh,722,610,92,20
507,22/04/2020,Andhra Pradesh,757,639,96,22
